No.,,Manufacturer,Product_Name,Product_ID,Products_Parent_Id,Purchased,Quantity_in_Stock,Years_in_Stock,Reorder,Reorder_Quantity,,Vendor SKU,Products Status
1,,Colour de Verre,7-10” Bowl Slump Form,181222,0,4,1,0.25,Y,1,5,cdvBOWSLU,Active
2,,Colour de Verre,Assorted Small Leaves,181049,0,26,9,0.35,Y,6.5,10,cdvSMALEA,Active
3,,Colour de Verre,Big Skull Mold,182005,0,5,0,0,Y,1.25,10,cdvBIGSKU,Active
4,,Colour de Verre,Blossoms Casting Mold,181048,0,47,16,0.34,Y,11.75,15,cdvBLOSS,Active
5,,Colour de Verre,Branches Casting Mold,181086,0,32,9,0.28,Y,8,10,cdvBRANCH,Active
6,,Colour de Verre,Candy Cane and Snowman Casting Mold,181085,0,10,0,0,Y,2.5,5,cdvCANCAN,Active
7,,Colour de Verre,Dragonfly Casting Mold,181082,0,9,3,0.33,Y,2.25,5,cdvDRA,Active
8,,Colour de Verre,Flaming Hearts Mold,181864,0,5,0,0,Y,1.25,10,cdvPLASLU,Active
9,,Colour de Verre,Geometric Beads Mold,181805,0,4,1,0.25,Y,1,5,cdvGEOBEA,Active
10,,Colour de Verre,Ginkgo Leaves Mold,181655,0,15,1,0.07,Y,3.75,5,cdvGinkgoLeaves,Active
11,,Colour de Verre,Icicles Casting Mold,181047,0,10,0,0,Y,2.5,10,cdvICICLE,Active
12,,Colour de Verre,Large Round Box Casting Mold,181430,0,22,5,0.23,Y,5.5,10,cdvLROUBOX,Active
13,,Colour de Verre,Lily Pad and Frog Mold,181658,0,13,2,0.15,Y,3.25,5,cdvBUT,Active
14,,Colour de Verre,Maple Leaves with Slumper Casting Mold,181232,0,10,0,0,Y,2.5,10,cdvMAPLEA,Active
15,,Colour de Verre,Nano Beads Casting Mold,181062,0,19,7,0.37,Y,4.75,5,cdvNANBEA,Active
16,,Colour de Verre,Northwoods Maple Mold,181064,0,17,3,0.18,Y,4.25,5,cdvNORWOO,Active
17,,Colour de Verre,Oval Votive Casting Mold,182157,0,2,0,0,Y,0.5,10,cdvVOTOVA,Active
18,,Colour de Verre,Poppies Mold,181799,0,17,0,0,Y,4.25,10,cdvPOP,Active
19,,Colour de Verre,Rose Mold,181804,0,5,0,0,Y,1.25,10,cdvROS,Active
20,,Colour de Verre,Round Napkin Rings Casting Mold,181433,0,12,3,0.25,Y,3,5,cdvNAPROU,Active
21,,Colour de Verre,Seahorse and Starfish Mold,181662,0,6,0,0,Y,1.5,10,cdvSEASTA,Active
22,,Colour de Verre,Snowflake 14 Mold,181998,0,20,0,0,Y,5,15,cdvSF14,Active
23,,Colour de Verre,Snowflake 15 Mold,181999,0,20,0,0,Y,5,15,cdvSF15,Active
24,,Colour de Verre,Snowflake 16 Mold,181994,0,20,0,0,Y,5,15,cdvSF16,Active
25,,Colour de Verre,Wings Casting Mold,181670,0,4,1,0.25,Y,1,5,cdvELLBOX,Active